Div,season,team_title,squad_strength,squad_continuity,squad_players_known
D1,2021,Freiburg,0.21568,0.963,20
D1,2021,Greuther Fuerth,0.08762,0.0512,3
D1,2021,Hertha Berlin,0.17408,0.8879,24
D1,2021,Hoffenheim,0.23146,0.8513,24
D1,2021,Mainz 05,0.185,0.8083,21
D1,2021,RasenBallsport Leipzig,0.31334,0.8775,22
D1,2021,Union Berlin,0.17663,0.7965,21
D1,2021,VfB Stuttgart,0.17469,0.8106,25
D1,2021,Wolfsburg,0.23088,0.8488,23
D1,2022,Augsburg,0.17542,0.8146,26
D1,2022,Bayer Leverkusen,0.25185,0.9615,24
D1,2022,Bayern Munich,0.43099,0.9476,24
D1,2022,Bochum,0.20085,0.7637,18
D1,2022,Borussia Dortmund,0.26277,0.8988,23
D1,2022,Borussia M.Gladbach,0.2794,0.8547,19
D1,2022,Eintracht Frankfurt,0.21667,0.8342,20
D1,2022,FC Cologne,0.21116,0.8077,19
D1,2022,Freiburg,0.22587,0.9009,21
D1,2022,Hertha Berlin,0.29394,0.6875,19
D1,2022,Hoffenheim,0.30037,0.9397,26
D1,2022,Mainz 05,0.24885,0.9511,22
D1,2022,RasenBallsport Leipzig,0.33994,0.925,22
D1,2022,Schalke 04,0.1407,0.3571,9
D1,2022,Union Berlin,0.2127,0.764,21
D1,2022,VfB Stuttgart,0.22486,0.9084,22
D1,2022,Werder Bremen,0.05753,0.129,3
D1,2022,Wolfsburg,0.25517,0.9168,23
D1,2023,Augsburg,0.15773,0.8806,22
D1,2023,Bayer Leverkusen,0.23513,0.8411,18
D1,2023,Bayern Munich,0.39944,0.9492,22
D1,2023,Bochum,0.20553,0.7975,18
D1,2023,Borussia Dortmund,0.31997,0.9498,26
D1,2023,Borussia M.Gladbach,0.18673,0.8562,21
D1,2023,Darmstadt,0.35461,0.1869,5
D1,2023,Eintracht Frankfurt,0.23197,0.8063,25
D1,2023,FC Cologne,0.25486,0.8568,21
D1,2023,FC Heidenheim,0.30555,0.081,1
D1,2023,Freiburg,0.2334,0.8683,18
D1,2023,Hoffenheim,0.18329,0.8077,21
D1,2023,Mainz 05,0.20698,0.9207,24
D1,2023,RasenBallsport Leipzig,0.26191,0.8532,21
D1,2023,Union Berlin,0.15331,0.9271,25
D1,2023,VfB Stuttgart,0.22841,0.9797,22
D1,2023,Werder Bremen,0.22266,0.8446,21
D1,2023,Wolfsburg,0.23886,0.9006,23
D1,2024,Augsburg,0.18889,0.8026,23
D1,2024,Bayer Leverkusen,0.34484,0.9925,22
D1,2024,Bayern Munich,0.43172,0.978,25
D1,2024,Bochum,0.21873,0.7731,19
D1,2024,Borussia Dortmund,0.35462,0.9684,23
D1,2024,Borussia M.Gladbach,0.26491,0.9454,22
D1,2024,Eintracht Frankfurt,0.21169,0.8606,19
D1,2024,FC Heidenheim,0.13035,0.8205,20
D1,2024,Freiburg,0.21266,0.932,22
D1,2024,Hoffenheim,0.28906,0.8105,24
D1,2024,Mainz 05,0.24705,0.7899,18
D1,2024,RasenBallsport Leipzig,0.29752,0.8757,21
D1,2024,St. Pauli,0.41156,0.1006,3
D1,2024,Union Berlin,0.20776,0.8679,22
D1,2024,VfB Stuttgart,0.31525,0.9158,23
D1,2024,Werder Bremen,0.20761,0.9182,20
D1,2024,Wolfsburg,0.25331,0.6307,19
D1,2025,Augsburg,0.19361,0.844,22
D1,2025,Bayer Leverkusen,0.24973,0.737,20
D1,2025,Bayern Munich,0.396,0.9543,23
D1,2025,Borussia Dortmund,0.31301,0.9057,21
D1,2025,Borussia M.Gladbach,0.23768,0.8335,19
D1,2025,Eintracht Frankfurt,0.29964,0.9747,24
D1,2025,FC Cologne,0.24342,0.269,5
D1,2025,FC Heidenheim,0.21773,0.9002,24
D1,2025,Freiburg,0.2313,0.9051,22
D1,2025,Hamburger SV,0.17502,0.2083,5
D1,2025,Hoffenheim,0.19714,0.5783,16
D1,2025,Mainz 05,0.23384,0.8817,23
D1,2025,RasenBallsport Leipzig,0.25381,0.852,22
D1,2025,St. Pauli,0.16735,0.654,15
D1,2025,Union Berlin,0.18929,0.9105,20
D1,2025,VfB Stuttgart,0.2984,0.9987,24
D1,2025,Werder Bremen,0.27797,0.7433,18
D1,2025,Wolfsburg,0.21373,0.7742,20
E0,2015,Arsenal,0.28549,0.9616,23
E0,2015,Aston Villa,0.16671,0.9044,22
E0,2015,Bournemouth,0.46073,0.0593,4
E0,2015,Chelsea,0.29885,0.966,21
E0,2015,Crystal Palace,0.1803,0.9656,26
E0,2015,Everton,0.19827,0.9234,24
E0,2015,Leicester,0.23236,0.9926,20
E0,2015,Liverpool,0.21369,0.9254,21
E0,2015,Manchester City,0.32023,0.9801,21
E0,2015,Manchester United,0.21411,0.9029,25
E0,2015,Newcastle United,0.18116,0.7216,23
E0,2015,Norwich,0.19789,0.2049,7
E0,2015,Southampton,0.26605,0.7859,21
E0,2015,Stoke,0.1814,0.9331,25
E0,2015,Sunderland,0.18388,0.9316,24
E0,2015,Swansea,0.20371,0.9814,24
E0,2015,Tottenham,0.20009,0.9322,21
E0,2015,Watford,0.11878,0.3999,12
E0,2015,West Bromwich Albion,0.12087,0.8627,21
E0,2015,West Ham,0.20712,0.8543,21
E0,2016,Arsenal,0.30608,0.9749,26
E0,2016,Bournemouth,0.16439,0.9316,22
E0,2016,Burnley,0.19872,0.0469,4
E0,2016,Chelsea,0.2248,0.9995,23
E0,2016,Crystal Palace,0.21503,0.9634,28
E0,2016,Everton,0.21449,0.9459,24
E0,2016,Hull,0.28317,0.1853,7
E0,2016,Leicester,0.25701,0.889,20
E0,2016,Liverpool,0.26792,0.9925,19
E0,2016,Manchester City,0.27852,0.9808,23
E0,2016,Manchester United,0.2772,0.9824,25
E0,2016,Middlesbrough,0.26018,0.41,11
E0,2016,Southampton,0.22102,0.9396,23
E0,2016,Stoke,0.21271,0.8246,22
E0,2016,Sunderland,0.1927,0.9403,28
E0,2016,Swansea,0.15517,0.9037,23
E0,2016,Tottenham,0.22706,0.9668,21
E0,2016,Watford,0.18344,0.9441,25
E0,2016,West Bromwich Albion,0.15852,0.8855,20
E0,2016,West Ham,0.21196,0.8877,22
E0,2017,Arsenal,0.30664,0.9888,26
E0,2017,Bournemouth,0.21221,0.9964,20
E0,2017,Brighton,0.26295,0.2056,4
E0,2017,Burnley,0.14976,0.8463,19
E0,2017,Chelsea,0.2575,0.9991,24
E0,2017,Crystal Palace,0.20181,0.9352,22
E0,2017,Everton,0.20053,0.9453,25
E0,2017,Huddersfield,0.14548,0.1848,3
E0,2017,Leicester,0.20693,0.9471,22
E0,2017,Liverpool,0.27901,0.926,24
E0,2017,Manchester City,0.37642,0.898,20
E0,2017,Manchester United,0.25603,0.9661,26
E0,2017,Newcastle United,0.17645,0.2187,7
E0,2017,Southampton,0.2127,0.9455,23
E0,2017,Stoke,0.22093,0.9146,24
E0,2017,Swansea,0.14627,0.9411,23
E0,2017,Tottenham,0.29615,0.9254,22
E0,2017,Watford,0.1649,0.8301,25
E0,2017,West Bromwich Albion,0.1973,0.9074,21
E0,2017,West Ham,0.1846,0.9995,24
E0,2018,Arsenal,0.30084,0.9387,25
E0,2018,Bournemouth,0.17875,0.8804,23
E0,2018,Brighton,0.15148,0.9631,19
E0,2018,Burnley,0.15057,0.99,21
E0,2018,Cardiff,0.19093,0.1386,3
E0,2018,Chelsea,0.24916,1.0,24
E0,2018,Crystal Palace,0.18422,0.9985,24
E0,2018,Everton,0.22042,0.9435,22
E0,2018,Fulham,0.19548,0.5174,11
E0,2018,Huddersfield,0.1474,0.8566,23
E0,2018,Leicester,0.17285,0.8395,23
E0,2018,Liverpool,0.33187,1.0,22
E0,2018,Manchester City,0.36889,1.0,21
E0,2018,Manchester United,0.27101,0.9406,22
E0,2018,Newcastle United,0.17662,0.9609,22
E0,2018,Southampton,0.17398,0.8607,22
E0,2018,Tottenham,0.29159,0.9708,25
E0,2018,Watford,0.17619,0.97,22
E0,2018,West Ham,0.18731,0.8338,19
E0,2018,Wolverhampton Wanderers,0.15294,0.1556,2
E0,2019,Arsenal,0.28292,0.9336,25
E0,2019,Aston Villa,0.12972,0.3784,8
E0,2019,Bournemouth,0.25095,0.7918,22
E0,2019,Brighton,0.11635,0.6382,17
E0,2019,Burnley,0.19121,0.8309,17
E0,2019,Chelsea,0.23919,0.7768,19
E0,2019,Crystal Palace,0.20313,0.9749,22
E0,2019,Everton,0.23413,0.9804,22
E0,2019,Leicester,0.23554,0.966,20
E0,2019,Liverpool,0.30493,0.9615,20
E0,2019,Manchester City,0.43139,0.9585,20
E0,2019,Manchester United,0.22025,0.8735,24
E0,2019,Newcastle United,0.18608,0.9619,25
E0,2019,Norwich,0.26739,0.0758,6
E0,2019,Sheffield United,0.32585,0.0387,2
E0,2019,Southampton,0.20773,0.9317,20
E0,2019,Tottenham,0.25088,0.9661,25
E0,2019,Watford,0.21865,0.9369,24
E0,2019,West Ham,0.19589,0.8974,21
E0,2019,Wolverhampton Wanderers,0.22635,0.9924,20
E0,2020,Arsenal,0.20284,0.9601,28
E0,2020,Aston Villa,0.20545,0.828,19
E0,2020,Brighton,0.24084,0.7633,18
E0,2020,Burnley,0.2043,0.9707,19
E0,2020,Chelsea,0.30817,0.9698,26
E0,2020,Crystal Palace,0.1573,0.8987,21
E0,2020,Everton,0.22177,0.9966,26
E0,2020,Fulham,0.1986,0.472,8
E0,2020,Leeds,0.37581,0.1593,4
E0,2020,Leicester,0.24994,0.9786,24
E0,2020,Liverpool,0.34123,0.9394,24
E0,2020,Manchester City,0.39133,0.9206,21
E0,2020,Manchester United,0.2584,0.9641,23
E0,2020,Newcastle United,0.18679,0.896,24
E0,2020,Sheffield United,0.19867,0.8911,19
E0,2020,Southampton,0.23539,0.9744,23
E0,2020,Tottenham,0.21807,0.9726,21
E0,2020,West Bromwich Albion,0.18857,0.1097,4
E0,2020,West Ham,0.217,0.8827,22
E0,2020,Wolverhampton Wanderers,0.19093,0.9279,20
E0,2021,Arsenal,0.20749,0.9377,24
E0,2021,Aston Villa,0.19192,0.9431,27
E0,2021,Brentford,0.23328,0.0865,3
E0,2021,Brighton,0.20343,0.9128,18
E0,2021,Burnley,0.16395,0.865,19
E0,2021,Chelsea,0.27142,0.9854,25
E0,2021,Crystal Palace,0.14655,0.8114,18
E0,2021,Everton,0.17208,0.931,25
E0,2021,Leeds,0.22847,0.9132,18
E0,2021,Leicester,0.19793,0.9101,23
E0,2021,Liverpool,0.2988,0.9632,23
E0,2021,Manchester City,0.32233,0.9962,22
E0,2021,Manchester United,0.27142,0.9956,27
E0,2021,Newcastle United,0.20322,0.9904,28
E0,2021,Norwich,0.21604,0.2933,6
E0,2021,Southampton,0.16264,0.7965,21
E0,2021,Tottenham,0.21092,0.9642,24
E0,2021,Watford,0.16008,0.4327,10
E0,2021,West Ham,0.27035,0.9852,20
E0,2021,Wolverhampton Wanderers,0.17137,0.8927,21
E0,2022,Arsenal,0.25654,0.9877,23
E0,2022,Aston Villa,0.18927,0.9973,25
E0,2022,Bournemouth,0.23938,0.1527,6
E0,2022,Brentford,0.21169,0.9917,23
E0,2022,Brighton,0.2152,0.844,18
E0,2022,Chelsea,0.33202,0.9014,26
E0,2022,Crystal Palace,0.19814,0.9728,22
E0,2022,Everton,0.17334,0.9443,24
E0,2022,Fulham,0.17383,0.1689,7
E0,2022,Leeds,0.19075,0.7813,21
E0,2022,Leicester,0.23732,0.922,25
E0,2022,Liverpool,0.33431,0.8899,21
E0,2022,Manchester City,0.36432,0.9284,19
E0,2022,Manchester United,0.23921,0.8577,22
E0,2022,Newcastle United,0.18295,0.9905,25
E0,2022,Nottingham Forest,0.22731,0.5869,18
E0,2022,Southampton,0.21284,0.7625,24
E0,2022,Tottenham,0.27546,0.9688,24
E0,2022,West Ham,0.23058,0.9798,22
E0,2022,Wolverhampton Wanderers,0.19832,0.8427,24
E0,2023,Arsenal,0.32245,0.9981,24
E0,2023,Aston Villa,0.22709,0.9788,25
E0,2023,Bournemouth,0.22103,0.8864,25
E0,2023,Brentford,0.21467,0.9786,24
E0,2023,Brighton,0.28958,0.8101,23
E0,2023,Burnley,0.23749,0.213,8
E0,2023,Chelsea,0.24347,0.9333,23
E0,2023,Crystal Palace,0.16987,0.9178,21
E0,2023,Everton,0.21225,0.9113,21
E0,2023,Fulham,0.16487,0.8943,23
E0,2023,Liverpool,0.371,0.9474,24
E0,2023,Luton,0.42512,0.1516,3
E0,2023,Manchester City,0.30823,0.97,23
E0,2023,Manchester United,0.29822,0.9766,25
E0,2023,Newcastle United,0.31764,0.9964,25
E0,2023,Nottingham Forest,0.26314,0.8275,25
E0,2023,Sheffield United,0.1023,0.1899,7
E0,2023,Tottenham,0.24335,0.9873,24
E0,2023,West Ham,0.21121,0.8689,22
E0,2023,Wolverhampton Wanderers,0.14556,0.9493,21
E0,2024,Arsenal,0.30636,0.9636,23
E0,2024,Aston Villa,0.26838,0.9746,24
E0,2024,Bournemouth,0.23189,0.936,24
E0,2024,Brentford,0.28952,0.9883,20
E0,2024,Brighton,0.2557,0.7802,22
E0,2024,Chelsea,0.37826,0.954,23
E0,2024,Crystal Palace,0.23079,0.9847,25
E0,2024,Everton,0.23592,0.9965,24
E0,2024,Fulham,0.2526,0.9804,22
E0,2024,Ipswich,0.17545,0.2893,9
E0,2024,Leicester,0.16391,0.3027,9
E0,2024,Liverpool,0.39904,0.9998,23
E0,2024,Manchester City,0.37904,0.963,25
E0,2024,Manchester United,0.24168,0.961,24
E0,2024,Newcastle United,0.341,1.0,24
E0,2024,Nottingham Forest,0.24657,0.9493,19
E0,2024,Southampton,0.29753,0.1942,8
E0,2024,Tottenham,0.38978,0.8886,24
E0,2024,West Ham,0.22168,0.9541,22
E0,2024,Wolverhampton Wanderers,0.22446,0.9022,22
E0,2025,Arsenal,0.31052,0.9348,23
E0,2025,Aston Villa,0.25775,0.9981,26
E0,2025,Bournemouth,0.25477,0.9082,21
E0,2025,Brentford,0.24602,0.9287,19
E0,2025,Brighton,0.25469,0.9288,21
E0,2025,Burnley,0.17886,0.3603,8
E0,2025,Chelsea,0.28628,0.9453,27
E0,2025,Crystal Palace,0.27585,0.9952,26
E0,2025,Everton,0.21842,1.0,22
E0,2025,Fulham,0.24128,0.9733,23
E0,2025,Leeds,0.25137,0.4622,12
E0,2025,Liverpool,0.36548,0.9804,21
E0,2025,Manchester City,0.33137,0.9864,24
E0,2025,Manchester United,0.30219,0.9192,22
E0,2025,Newcastle United,0.28304,0.9995,23
E0,2025,Nottingham Forest,0.19906,0.9057,26
E0,2025,Sunderland,0.17561,0.4593,9
E0,2025,Tottenham,0.23951,0.996,27
E0,2025,West Ham,0.24347,0.8704,25
E0,2025,Wolverhampton Wanderers,0.15863,0.8405,23
F1,2015,Angers,0.31336,0.1771,5
F1,2015,Bordeaux,0.20714,0.8021,21
F1,2015,Caen,0.10659,0.7795,15
F1,2015,GFC Ajaccio,0.11852,0.1377,2
F1,2015,Guingamp,0.14817,0.923,21
F1,2015,Lille,0.17931,0.8141,22
F1,2015,Lorient,0.15051,0.8272,21
F1,2015,Lyon,0.18291,0.8987,21
F1,2015,Marseille,0.22731,0.8279,21
F1,2015,Monaco,0.16169,0.9145,24
F1,2015,Montpellier,0.17523,0.7714,23
F1,2015,Nantes,0.17104,0.8659,20
F1,2015,Nice,0.23086,0.67,19
F1,2015,Paris Saint Germain,0.30571,0.9798,23
F1,2015,Reims,0.18528,0.7982,23
F1,2015,Rennes,0.13128,0.8373,21
F1,2015,SC Bastia,0.13576,0.874,21
F1,2015,Saint-Etienne,0.13922,0.8351,22
F1,2015,Toulouse,0.19415,0.8171,21
F1,2015,Troyes,0.09387,0.1793,5
F1,2016,Angers,0.13891,0.6407,18
F1,2016,Bordeaux,0.17831,0.9124,23
F1,2016,Caen,0.17535,0.845,21
F1,2016,Dijon,0.11821,0.0778,3
F1,2016,Guingamp,0.18486,0.7461,18
F1,2016,Lille,0.21122,0.8732,23
F1,2016,Lorient,0.19187,0.8344,21
F1,2016,Lyon,0.26111,0.867,21
F1,2016,Marseille,0.21983,0.8432,22
F1,2016,Metz,0.1905,0.329,8
F1,2016,Monaco,0.20733,0.9765,23
F1,2016,Montpellier,0.17293,0.8418,20
F1,2016,Nancy,0.18754,0.0534,1
F1,2016,Nantes,0.15544,0.6619,17
F1,2016,Nice,0.23929,0.7003,16
F1,2016,Paris Saint Germain,0.34554,0.9389,23
F1,2016,Rennes,0.16773,0.9131,25
F1,2016,SC Bastia,0.1399,0.9813,23
F1,2016,Saint-Etienne,0.1912,0.8951,22
F1,2016,Toulouse,0.17012,0.7862,21
F1,2017,Amiens,0.26056,0.245,6
F1,2017,Angers,0.18333,0.8834,21
F1,2017,Bordeaux,0.23286,0.748,22
F1,2017,Caen,0.17098,0.8171,16
F1,2017,Dijon,0.15384,0.9132,22
F1,2017,Guingamp,0.17388,0.7936,17
F1,2017,Lille,0.18007,0.6063,14
F1,2017,Lyon,0.2721,0.7059,17
F1,2017,Marseille,0.2747,0.9093,22
F1,2017,Metz,0.15134,0.7218,24
F1,2017,Monaco,0.27299,0.9219,25
F1,2017,Montpellier,0.16074,0.8495,17
F1,2017,Nantes,0.16478,0.8593,21
F1,2017,Nice,0.24272,0.9106,24
F1,2017,Paris Saint Germain,0.32671,0.9957,24
F1,2017,Rennes,0.18501,0.6737,20
F1,2017,Saint-Etienne,0.18249,0.9022,25
F1,2017,Strasbourg,0.16318,0.3203,6
F1,2017,Toulouse,0.13386,0.9511,21
F1,2017,Troyes,0.10857,0.2456,6
F1,2018,Amiens,0.11248,0.7382,17
F1,2018,Angers,0.16287,0.9147,18
F1,2018,Bordeaux,0.20329,0.8447,22
F1,2018,Caen,0.19172,0.8665,20
F1,2018,Dijon,0.17457,0.8183,18
F1,2018,Guingamp,0.15732,0.8515,21
F1,2018,Lille,0.22902,0.8266,19
F1,2018,Lyon,0.2759,0.8741,20
F1,2018,Marseille,0.33293,0.9409,21
F1,2018,Monaco,0.215,0.798,31
F1,2018,Montpellier,0.14835,0.8785,18
F1,2018,Nantes,0.13777,0.8033,19
F1,2018,Nice,0.17784,0.8533,20
F1,2018,Nimes,0.25274,0.1315,4
F1,2018,Paris Saint Germain,0.41175,0.9326,25
F1,2018,Reims,0.23403,0.0832,3
F1,2018,Rennes,0.18709,0.8483,19
F1,2018,Saint-Etienne,0.24682,0.8174,18
F1,2018,Strasbourg,0.16833,0.5636,17
F1,2018,Toulouse,0.18338,0.7107,16
F1,2019,Amiens,0.144,0.8579,23
F1,2019,Angers,0.1799,0.9334,22
F1,2019,Bordeaux,0.18081,0.8636,22
F1,2019,Brest,0.29743,0.1606,4
F1,2019,Dijon,0.11434,0.8196,21
F1,2019,Lille,0.19256,0.806,17
F1,2019,Lyon,0.27084,0.9561,21
F1,2019,Marseille,0.1582,0.9029,18
F1,2019,Metz,0.20736,0.0922,3
F1,2019,Monaco,0.22211,0.9068,23
F1,2019,Montpellier,0.26514,0.8662,20
F1,2019,Nantes,0.16884,0.8568,20
F1,2019,Nice,0.16231,0.7781,23
F1,2019,Nimes,0.12579,0.6873,15
F1,2019,Paris Saint Germain,0.37781,0.973,26
F1,2019,Reims,0.1804,0.8173,16
F1,2019,Rennes,0.20231,0.9153,21
F1,2019,Saint-Etienne,0.2363,0.8346,22
F1,2019,Strasbourg,0.17238,0.8856,22
F1,2019,Toulouse,0.18173,0.7726,19
F1,2020,Angers,0.15749,0.9143,24
F1,2020,Bordeaux,0.22714,0.8474,19
F1,2020,Brest,0.142,0.7912,19
F1,2020,Dijon,0.17477,0.7369,21
F1,2020,Lens,0.22577,0.2096,5
F1,2020,Lille,0.15055,0.794,18
F1,2020,Lorient,0.10508,0.1322,3
F1,2020,Lyon,0.2237,0.9144,22
F1,2020,Marseille,0.21101,0.8776,24
F1,2020,Metz,0.13092,0.8153,18
F1,2020,Monaco,0.27496,0.8137,17
F1,2020,Montpellier,0.21659,0.9132,21
F1,2020,Nantes,0.15369,0.8548,20
F1,2020,Nice,0.18141,0.8579,22
F1,2020,Nimes,0.19961,0.7412,22
F1,2020,Paris Saint Germain,0.40912,0.9301,25
F1,2020,Reims,0.17232,0.8813,19
F1,2020,Rennes,0.16317,0.8679,25
F1,2020,Saint-Etienne,0.1788,0.7614,24
F1,2020,Strasbourg,0.19473,0.8901,19
F1,2021,Angers,0.16719,0.8843,23
F1,2021,Bordeaux,0.19099,0.6215,26
F1,2021,Brest,0.17485,0.8224,18
F1,2021,Clermont Foot,0.2388,0.0319,2
F1,2021,Lens,0.2286,0.785,18
F1,2021,Lille,0.21274,0.7989,18
F1,2021,Lorient,0.17493,0.7883,18
F1,2021,Lyon,0.30428,0.8833,25
F1,2021,Marseille,0.17121,0.8313,22
F1,2021,Metz,0.15869,0.8295,24
F1,2021,Monaco,0.27779,0.9432,21
F1,2021,Montpellier,0.19848,0.8906,19
F1,2021,Nantes,0.17457,0.9219,21
F1,2021,Nice,0.18674,0.8685,23
F1,2021,Paris Saint Germain,0.37494,0.9566,29
F1,2021,Reims,0.09481,0.7945,23
F1,2021,Rennes,0.20842,0.7979,20
F1,2021,Saint-Etienne,0.19009,0.8917,29
F1,2021,Strasbourg,0.22655,0.9733,21
F1,2021,Troyes,0.2077,0.2823,8
F1,2022,Ajaccio,0.27114,0.1239,5
F1,2022,Angers,0.13825,0.6394,19
F1,2022,Auxerre,0.21746,0.244,8
F1,2022,Brest,0.18483,0.8839,22
F1,2022,Clermont Foot,0.19653,0.5315,14
